level1_name,level1_pcode,level3_name,level3_pcode,level2_name,level2_pcode,year,week,rg_case,rg_attack,rg_death
,,Cs Urbain,cod026,Businga,cod200299,2020,1,1,0,0
,,Cs Cite 1,cod027,Businga,cod200299,2020,1,0,0,0
,,Cs Cite 2,cod028,Businga,cod200299,2020,1,0,0,0
,,Movangusa,cod048,Businga,cod200299,2020,1,0,0,0
,,Monveda,cod045,Businga,cod200299,2020,1,0,0,0
,,Kondo,cod036,Businga,cod200299,2020,1,0,0,0
,,Edungu,cod032,Businga,cod200299,2020,1,0,0,0
,,Bopili,cod019,Businga,cod200299,2020,1,0,0,0
,,Songbolo,cod050,Businga,cod200299,2020,1,0,0,0
,,Bogboan,cod007,Businga,cod200299,2020,1,0,0,0
,,Bombwa,cod011,Businga,cod200299,2020,1,0,0,0
,,Nbakpo,cod049,Businga,cod200299,2020,1,0,0,0
,,Bobiti,cod006,Businga,cod200299,2020,1,0,0,0
,,Cs Urbain,cod026,Businga,cod200299,2020,2,2,0.01,0
,,Cs Cite 1,cod027,Businga,cod200299,2020,2,0,0,0
,,Cs Cite 2,cod028,Businga,cod200299,2020,2,4,0.03,0
,,Movangusa,cod048,Businga,cod200299,2020,2,0,0,0
,,Monveda,cod045,Businga,cod200299,2020,2,0,0,0
,,Kondo,cod036,Businga,cod200299,2020,2,1,0.01,0
,,Edungu,cod032,Businga,cod200299,2020,2,0,0,0
,,Bopili,cod019,Businga,cod200299,2020,2,0,0,0
,,Songbolo,cod050,Businga,cod200299,2020,2,0,0,0
,,Bogboan,cod007,Businga,cod200299,2020,2,0,0,0
,,Bombwa,cod011,Businga,cod200299,2020,2,0,0,0
,,Nbakpo,cod049,Businga,cod200299,2020,2,0,0,0
,,Bobiti,cod006,Businga,cod200299,2020,2,0,0,0
,,Cs Urbain,cod026,Businga,cod200299,2020,3,1,0,0
,,Cs Cite 1,cod027,Businga,cod200299,2020,3,0,0,0
,,Cs Cite 2,cod028,Businga,cod200299,2020,3,0,0,0
,,Movangusa,cod048,Businga,cod200299,2020,3,0,0,0
,,Monveda,cod045,Businga,cod200299,2020,3,0,0,0
,,Kondo,cod036,Businga,cod200299,2020,3,0,0,0
,,Edungu,cod032,Businga,cod200299,2020,3,0,0,0
,,Bopili,cod019,Businga,cod200299,2020,3,0,0,0
,,Songbolo,cod050,Businga,cod200299,2020,3,0,0,0
,,Bogboan,cod007,Businga,cod200299,2020,3,0,0,0
,,Bombwa,cod011,Businga,cod200299,2020,3,0,0,0
,,Nbakpo,cod049,Businga,cod200299,2020,3,0,0,0
,,Bobiti,cod006,Businga,cod200299,2020,3,0,0,0
,,Cs Urbain,cod026,Businga,cod200299,2020,4,3,0.01,0
,,Cs Cite 1,cod027,Businga,cod200299,2020,4,1,0.01,0
,,Cs Cite 2,cod028,Businga,cod200299,2020,4,11,0.1,0
,,Movangusa,cod048,Businga,cod200299,2020,4,1,0.01,0
,,Monveda,cod045,Businga,cod200299,2020,4,0,0,0
,,Kondo,cod036,Businga,cod200299,2020,4,1,0.01,0
,,Edungu,cod032,Businga,cod200299,2020,4,0,0,0
,,Bopili,cod019,Businga,cod200299,2020,4,0,0,0
,,Songbolo,cod050,Businga,cod200299,2020,4,0,0,0
,,Bogboan,cod007,Businga,cod200299,2020,4,0,0,0
,,Bombwa,cod011,Businga,cod200299,2020,4,0,0,0
,,Nbakpo,cod049,Businga,cod200299,2020,4,0,0,0
,,Bobiti,cod006,Businga,cod200299,2020,4,0,0,0
,,Cs Urbain,cod026,Businga,cod200299,2020,5,9,0.04,0
